row,air-brazil,air-europe,air-usa,amazon-computer,amazon-photo,chameleon,citeseer,coauthor-cs,coauthor-physics,cora,cornell,pubmed,texas,tolokers,wikics,wisconsin,overall_average
baseline,64.62 +- 3.77,54.75 +- 0.64,56.50 +- 0.37,77.14 +- 0.38,88.26 +- 0.17,45.22 +- 1.78,68.08 +- 0.26,90.26 +- 0.10,87.10 +- 1.80,80.86 +- 0.22,72.43 +- 3.59,78.08 +- 0.37,77.57 +- 2.72,78.69 +- 0.30,77.80 +- 0.48,79.22 +- 3.64,73.54
other,68.46 +- 2.88,52.88 +- 0.85,61.44 +- 1.39,65.12 +- 3.63,89.07 +- 0.25,53.55 +- 1.37,67.58 +- 0.46,90.31 +- 0.35,90.01 +- 1.02,81.52 +- 0.20,64.32 +- 4.65,77.84 +- 0.49,75.41 +- 4.26,79.47 +- 0.28,73.09 +- 1.44,78.04 +- 7.17,73.01
